id,first_name,last_name,email,gender,date_of_birth,study,ganghood,sport,graduation_year
115-1146,Marline,PAWELSKI,mpawelski@uni.edu,Female,13/09/1996,Psychology,,Cheerleading,2024
116-7615,Heinrik,GILLISON,hgillison@uni.edu,Female,15/07/1996,Medicine,,,2022
113-1327,Kassey,BLANKAU,kblankau@uni.edu,Male,16/05/1997,Law,,,2022
117-4340,Felicity,LATHBURY,flathbury@uni.edu,Male,23/07/1997,Psychology,,,2023
115-5995,Adora,YUSHKIN,ayushkin@uni.edu,Male,22/03/1996,Mathematics,,,2024
118-5013,Tildie,BLODGETTS,tblodgetts@uni.edu,Female,01/03/1998,Tourism & Catering,,Cheerleading,2022
111-4091,Misty,BOTCHERBY,mbotcherby@uni.edu,Female,12/11/1997,Medicine,,,2024
117-6110,Cart,GROVIER,cgrovier@uni.edu,Female,04/10/1996,Business Administration,,,2024
116-2595,Lonnard,GRAVY,lgravy@uni.edu,Male,30/12/1998,IT,,,2022
111-6348,Baily,REYNALDS,breynalds@uni.edu,Male,26/02/1996,Agronomy,,Basketball,2024
119-8959,Carree,DYKINS,cdykins@uni.edu,Male,03/08/1998,Biotechnology,,,2023
111-7228,Herbie,OXBROUGH,hoxbrough@uni.edu,Male,16/06/1998,Mathematics,,Basketball,2023
114-9575,Candy,BASSON,cbasson@uni.edu,Female,26/01/1997,Architecture,,,2024
119-1060,Brnaba,ENDERLEIN,benderlein@uni.edu,Male,25/06/1996,Engineering,,Volleyball,2022
118-5970,Tomaso,GATELAND,tgateland@uni.edu,Agender,15/08/1998,Litterature & Linguistics,,Gymnastics,2023
114-8668,Hildagarde,CARRIER,hcarrier@uni.edu,Female,15/04/1998,Art & Culture,,,2024
114-8837,Madalena,FARRANCE,mfarrance@uni.edu,Female,09/07/1998,Biotechnology,,,2022
118-3393,Davina,BEAFORD,dbeaford@uni.edu,Female,17/05/1996,Tourism & Catering,,,2022
113-2743,Orella,AVRAHM,oavrahm@uni.edu,Male,05/07/1998,Psychology,,Soccer,2023
115-6088,Rafi,CABEDO,rcabedo@uni.edu,Female,15/11/1998,Tourism & Catering,,Hockey,2024
115-8016,Sandy,FEWINGS,sfewings@uni.edu,Male,19/07/1996,IT,,Basketball,2023
112-7156,Koralle,MCQUAID,kmcquaid@uni.edu,Female,12/06/1998,Tourism & Catering,,,2022
119-3542,Lion,IND,lind@uni.edu,Male,09/10/1997,Biotechnology,,,2022
118-9422,Auberta,MATCZAK,amatczak@uni.edu,Female,19/09/1997,Tourism & Catering,,Track & Field,2023
113-1865,Laney,WITCHARD,lwitchard@uni.edu,Male,23/06/1998,Biotechnology,,,2022
111-4236,Jolie,RADDENBURY,jraddenbury@uni.edu,Male,14/08/1997,Mathematics,,Track & Field,2022
114-4762,Vlad,SMALLS,vsmalls@uni.edu,Male,12/10/1998,Art & Culture,,,2024
114-4667,Brocky,BRENDEKE,bbrendeke@uni.edu,Genderqueer,02/08/1997,Computer Science,,,2023
116-5199,Nisse,CAESAR,ncaesar@uni.edu,Male,05/02/1997,IT,,Football,2024
114-1226,Donaugh,LADEMANN,dlademann@uni.edu,Female,04/11/1996,Psychology,,,2024
112-5635,Dorolisa,SHAPIRO,dshapiro@uni.edu,Male,16/12/1997,Mathematics,,Soccer,2022
117-9723,Reed,MINGASSON,rmingasson@uni.edu,Female,14/04/1996,Law,,,2023
119-2852,Byrom,OZINTSEV,bozintsev@uni.edu,Female,23/06/1996,Litterature & Linguistics,,,2024
117-7078,Gard,CANSDALE,gcansdale@uni.edu,Male,23/12/1998,Mathematics,,,2023
114-4130,Darrelle,HOVENDEN,dhovenden@uni.edu,Female,10/10/1997,IT,,,2024
115-5033,Cordula,RAVENSCRAFT,cravenscraft@uni.edu,Male,01/08/1997,Biotechnology,,Track & Field,2023
116-2978,Letisha,DENNEHY,ldennehy@uni.edu,Male,27/08/1996,Mathematics,,Basketball,2024
116-1076,Fredi,GOWER,fgower@uni.edu,Male,14/06/1998,Engineering,,,2023
111-7232,Norry,KASTEL,nkastel@uni.edu,Male,11/05/1998,Business Administration,,,2023
113-5163,Rad,CLELLAND,rclelland@uni.edu,Polygender,21/10/1998,Physics,,Basketball,2023
111-8656,Taite,BERNARDI,tbernardi@uni.edu,Female,25/11/1998,History,,,2023
118-2130,Clemmy,JOISCE,cjoisce@uni.edu,Female,18/02/1997,Tourism & Catering,Epsilon,,2024
116-7505,Pace,KERMATH,pkermath@uni.edu,Male,09/03/1997,Business Administration,,,2022
116-8953,Ann,KLIMUK,aklimuk@uni.edu,Male,15/01/1996,Mathematics,,Football,2022
119-5513,Daisey,CRAIGS,dcraigs@uni.edu,Male,15/04/1997,Architecture,,,2023
115-4257,Toni,HUGHESDON,thughesdon@uni.edu,Female,19/07/1997,Art & Culture,,,2022
111-3371,Ondrea,BENNELL,obennell@uni.edu,Female,15/09/1998,Tourism & Catering,,,2024
117-4585,Carlin,PEPYE,cpepye@uni.edu,Female,18/11/1997,Journalism,,,2023
113-2094,Garrett,YITZOVITZ,gyitzovitz@uni.edu,Male,05/07/1997,Computer Science,,Tennis,2022
116-2356,Winfield,SEDCOLE,wsedcole@uni.edu,Male,16/05/1997,Physics,,Volleyball,2023
118-7604,Starr,OAG,soag@uni.edu,Male,13/09/1996,History,Epsilon,Basketball,2022
112-3346,Chucho,PEASNONE,cpeasnone@uni.edu,Male,05/10/1997,Mathematics,Delta Magnus,,2024
116-7432,Blanca,ROYSE,broyse@uni.edu,Male,21/02/1998,Biotechnology,,,2022
116-9147,Cathie,ERROL,cerrol@uni.edu,Male,25/07/1996,Chemistry,,,2024
119-2244,Edythe,D'AETH,edaeth@uni.edu,Female,13/02/1998,IT,,Hockey,2022
118-1414,Claudianus,DARTNALL,cdartnall@uni.edu,Male,06/10/1997,Psychology,,Football,2023
116-2714,Torey,DELAHUNTY,tdelahunty@uni.edu,Male,06/03/1998,Agronomy,,,2024
118-9813,Donielle,STAUNTON,dstaunton@uni.edu,Male,27/04/1997,Finance,,,2024
112-4326,Michal,GILBANE,mgilbane@uni.edu,Female,22/02/1998,Architecture,,,2024
119-8105,Emmie,SMULLEN,esmullen@uni.edu,Female,10/02/1997,Computer Science,,,2023
111-3825,Winston,SIBARY,wsibary@uni.edu,Male,07/02/1998,Tourism & Catering,,,2023
111-6813,Jean,SIDNALL,jsidnall@uni.edu,Female,10/03/1996,Architecture,,,2022
115-6418,Wilton,LANGHORN,wlanghorn@uni.edu,Male,18/11/1996,Art & Culture,,,2023
112-5821,Cari,WHITFORD,cwhitford@uni.edu,Female,01/08/1998,Engineering,,,2022
113-9854,Stillmann,KULLMANN,skullmann@uni.edu,Female,28/05/1996,Tourism & Catering,,Swimming,2024
119-4389,Ted,TREACE,ttreace@uni.edu,Female,06/11/1997,Litterature & Linguistics,,,2023
111-5113,Natassia,KINNIE,nkinnie@uni.edu,Male,13/03/1997,History,,,2022
115-7471,Chariot,ZAPATER,czapater@uni.edu,Male,10/03/1997,Biotechnology,,,2023
112-7870,Gary,ALTHROPE,galthrope@uni.edu,Male,05/04/1996,Medicine,,,2023
117-4385,Jarred,SCHERME,jscherme@uni.edu,Male,17/10/1996,Psychology,,,2024
113-5251,Jenn,CHESSELL,jchessell@uni.edu,Male,28/12/1998,Mathematics,,,2022
118-5843,Valentine,ENRIETTO,venrietto@uni.edu,Female,26/08/1996,Biotechnology,,Basketball,2023
111-8588,Lexi,CHATIN,lchatin@uni.edu,Male,08/03/1997,Agronomy,,,2022
117-8312,Alica,CAMM,acamm@uni.edu,Female,24/11/1996,Agronomy,,,2023
117-3678,Helga,ASHMOLE,hashmole@uni.edu,Female,16/01/1996,Art & Culture,,Rowing,2024
112-4739,Joice,DARNBOROUGH,jdarnborough@uni.edu,Female,15/01/1997,Medicine,,,2022
116-7400,Kinna,PALEY,kpaley@uni.edu,Female,11/11/1998,Tourism & Catering,,,2024
117-1544,Caron,LOWINGS,clowings@uni.edu,Male,18/12/1998,Tourism & Catering,Nu Phi Lambda,Tennis,2022
114-1395,Valenka,COBELLI,vcobelli@uni.edu,Female,01/02/1996,Chemistry,,Gymnastics,2023
112-9835,Isabella,TEWKESBURY,itewkesbury@uni.edu,Male,09/07/1997,Computer Science,,Tennis,2022
112-7888,Rici,MCCALUM,rmccalum@uni.edu,Male,16/09/1997,IT,,,2023
118-1117,Desdemona,ERVIN,dervin@uni.edu,Male,08/02/1997,IT,,,2023
116-2111,Ondrea,JANCSO,ojancso@uni.edu,Female,08/09/1997,Art & Culture,,Cheerleading,2024
116-7996,Alford,GLASHEEN,aglasheen@uni.edu,Male,01/10/1998,Computer Science,,Soccer,2024
112-4280,Pierce,NEWLAN,pnewlan@uni.edu,Female,15/03/1996,Litterature & Linguistics,,,2022
118-4717,Mattie,FITZJOHN,mfitzjohn@uni.edu,Male,23/02/1996,Journalism,,Martial Arts,2022
114-9756,Phillis,NAZER,pnazer@uni.edu,Male,08/08/1996,Tourism & Catering,Epsilon,Rowing,2024
115-7270,Sumner,SPOLLEN,sspollen@uni.edu,Bigender,05/08/1997,Finance,,,2022
117-7523,Madalyn,KOPELMAN,mkopelman@uni.edu,Female,14/02/1998,Physics,,,2023
119-7595,Jany,BOSCH,jbosch@uni.edu,Male,29/01/1998,Art & Culture,,Football,2024
115-2401,Hagan,SEAMARKE,hseamarke@uni.edu,Male,09/08/1996,Law,,,2022
112-7923,Arte,BURLAND,aburland@uni.edu,Male,08/11/1998,Engineering,,Football,2022
116-4181,Doti,EASTERBROOK,deasterbrook@uni.edu,Female,22/10/1996,IT,,,2022
119-2528,Rosamund,RUBBERT,rrubbert@uni.edu,Male,29/01/1997,Law,Zeta Omega,Basketball,2023
115-4122,Merill,SIMMINS,msimmins@uni.edu,Female,11/07/1998,Agronomy,,Swimming,2023
117-3540,Sarina,LISSANDRE,slissandre@uni.edu,Male,25/05/1997,Journalism,,,2022
112-1692,Isadore,ARNELY,iarnely@uni.edu,Female,05/05/1996,Gastronomy,,,2023
114-4781,Eddi,SHAFIER,eshafier@uni.edu,Female,17/02/1996,Agronomy,,Gymnastics,2022
119-8937,Gifford,AZEMAR,gazemar@uni.edu,Female,03/04/1997,Tourism & Catering,,Volleyball,2023
112-2978,Kermie,WHISTAN,kwhistan@uni.edu,Male,19/09/1998,Art & Culture,,,2024
119-4880,Emlyn,DRISCOLL,edriscoll@uni.edu,Male,11/07/1996,Computer Science,,,2024
115-7017,Missie,DOGGERELL,mdoggerell@uni.edu,Female,18/07/1998,Biotechnology,,,2024
116-2402,Shelby,WINDRAM,swindram@uni.edu,Female,13/06/1998,History,,,2022
118-3481,Anders,HIBLING,ahibling@uni.edu,Male,11/07/1998,Tourism & Catering,,Tennis,2024
118-8330,Starlin,RODDAM,sroddam@uni.edu,Female,28/08/1998,Physics,,Gymnastics,2023
117-3789,Creigh,GAYLOR,cgaylor@uni.edu,Female,12/12/1996,Architecture,,Tennis,2022
118-5176,Sigismond,IVANIN,sivanin@uni.edu,Male,26/10/1998,IT,,Rowing,2024
111-5372,Janella,MOLLEN,jmollen@uni.edu,Male,16/02/1997,Journalism,,,2022
112-7455,Demetre,BULLION,dbullion@uni.edu,Female,30/12/1996,IT,,,2022
117-4147,Townie,GARMANSON,tgarmanson@uni.edu,Male,12/08/1997,IT,,,2024
114-8680,Almira,RICKARDSSON,arickardsson@uni.edu,Female,28/02/1998,Art & Culture,,,2022
111-4688,Heloise,HARDISTRY,hhardistry@uni.edu,Male,17/11/1996,Biotechnology,,,2022
118-3669,Lilli,KEENOR,lkeenor@uni.edu,Male,03/11/1998,Chemistry,,Tennis,2024
111-5793,Laurent,SCHIELL,lschiell@uni.edu,Non-binary,05/01/1998,Journalism,Nu Phi Lambda,,2022
112-3791,Harlan,GREBERT,hgrebert@uni.edu,Male,18/07/1998,Finance,,,2024
114-7261,Aland,MAYERS,amayers@uni.edu,Female,14/04/1997,Law,,Track & Field,2024
118-8033,James,CONEAU,jconeau@uni.edu,Female,16/04/1997,IT,,,2022
113-9474,Tandy,BREHENY,tbreheny@uni.edu,Female,11/07/1998,Computer Science,,Tennis,2022
114-4667,Patrizia,BANNESTER,pbannester@uni.edu,Male,15/02/1998,History,,,2024
117-6358,Dorri,ROOTHAM,drootham@uni.edu,Female,10/03/1998,Tourism & Catering,,,2023
114-2078,Anitra,COBLEIGH,acobleigh@uni.edu,Male,05/01/1996,Chemistry,Zeta Omega,,2024
115-9762,Wenonah,SANDILANDS,wsandilands@uni.edu,Female,27/09/1998,Art & Culture,,Tennis,2022
119-1690,Saraann,RAVENSHAW,sravenshaw@uni.edu,Genderqueer,13/06/1998,Chemistry,,,2022
113-1701,Thacher,HOWGEGO,thowgego@uni.edu,Male,10/06/1997,History,,Soccer,2022
111-7645,Rhonda,KILDEA,rkildea@uni.edu,Male,23/09/1998,Business Administration,,,2024
116-7212,Gordon,BRADMORE,gbradmore@uni.edu,Genderfluid,16/03/1998,Art & Culture,,Swimming,2024
115-9136,Dyanna,VARNEY,dvarney@uni.edu,Female,06/10/1996,Architecture,,Basketball,2023
114-3722,Sylvan,GRISLEY,sgrisley@uni.edu,Female,08/07/1997,Chemistry,,,2023
118-8156,Leanor,MARTINYUK,lmartinyuk@uni.edu,Female,21/11/1997,IT,,Cheerleading,2022
119-8345,Roderick,MARLING,rmarling@uni.edu,Male,19/02/1998,Mathematics,,,2022
116-1699,Allie,LUNEY,aluney@uni.edu,Male,08/12/1998,Law,,,2023
115-5471,Masha,LORENS,mlorens@uni.edu,Male,17/02/1997,Mathematics,,Football,2024
114-1029,Maurizia,MCKENEY,mmckeney@uni.edu,Male,12/11/1998,History,,Tennis,2024
111-6689,Thelma,SENESCALL,tsenescall@uni.edu,Male,21/07/1998,Journalism,,,2023
117-9791,Enrika,BROGINI,ebrogini@uni.edu,Female,06/01/1996,Chemistry,Nu Phi Lambda,,2023
115-6068,Dorey,BISPHAM,dbispham@uni.edu,Male,17/09/1998,Computer Science,,Martial Arts,2023
118-6636,Dorise,ASHDOWN,dashdown@uni.edu,Male,31/12/1996,Computer Science,,Track & Field,2022
114-6000,Bryon,CZAJKA,bczajka@uni.edu,Male,02/07/1997,IT,,Hockey,2022
115-4347,Adara,BONDY,abondy@uni.edu,Female,07/01/1996,Agronomy,,,2022
116-7786,Logan,EASTWOOD,leastwood@uni.edu,Female,27/06/1998,Journalism,Beta Mu,Swimming,2022
111-9831,Nola,MOURGUE,nmourgue@uni.edu,Male,21/08/1996,Business Administration,Kappa Xi,,2022
111-6452,Delmor,MACCOOK,dmaccook@uni.edu,Male,02/03/1997,IT,,,2022
114-7455,Arda,ADKIN,aadkin@uni.edu,Female,22/04/1996,Psychology,,Cheerleading,2023
114-4034,Isidora,STIRTON,istirton@uni.edu,Female,02/12/1996,Psychology,,Gymnastics,2022
114-3963,Kippy,INGLIS,kinglis@uni.edu,Male,20/08/1997,Biotechnology,Epsilon,,2023
116-2988,Aurelea,MACALINDEN,amacalinden@uni.edu,Female,18/05/1996,Computer Science,,Cheerleading,2023
113-1469,Chester,ANSTIS,canstis@uni.edu,Polygender,17/04/1998,Chemistry,,,2022
113-5080,Valle,CAUDRELIER,vcaudrelier@uni.edu,Female,30/03/1998,Computer Science,,Martial Arts,2023
119-8612,Pierrette,HAMNER,phamner@uni.edu,Male,06/11/1997,Art & Culture,,,2022
119-5140,Valaree,SANSUM,vsansum@uni.edu,Female,24/10/1996,Art & Culture,,Swimming,2023
115-1758,Garfield,DREWRY,gdrewry@uni.edu,Female,14/10/1997,Psychology,,Gymnastics,2022
112-3484,Fey,MCCONAGHY,fmcconaghy@uni.edu,Female,26/10/1998,Engineering,,,2024
117-8903,Kacey,BASSFORD,kbassford@uni.edu,Male,13/03/1997,Chemistry,Beta Mu,Tennis,2022
113-2720,Livvy,MATTERSON,lmatterson@uni.edu,Male,15/07/1997,Litterature & Linguistics,,,2022
118-2976,Evania,BARIBALL,ebariball@uni.edu,Female,21/05/1998,Computer Science,,,2023
111-3364,Isador,HEANEY`,iheaney`@uni.edu,Male,12/05/1997,Law,,,2023
111-9303,Aggie,SIVIOUR,asiviour@uni.edu,Female,11/11/1998,Litterature & Linguistics,,,2024
119-7470,Evelina,DYZART,edyzart@uni.edu,Female,18/10/1998,Chemistry,,Volleyball,2022
112-6208,Tamara,LASHAM,tlasham@uni.edu,Female,11/08/1998,Medicine,,Cheerleading,2022
115-6268,Clerissa,PRESHOUS,cpreshous@uni.edu,Female,06/03/1997,History,,Cheerleading,2022
111-5906,Lynnelle,AWDRY,lawdry@uni.edu,Female,01/12/1997,Chemistry,,,2022
112-5597,Elsa,WINSPEARE,ewinspeare@uni.edu,Male,28/03/1996,Business Administration,,,2022
111-3657,Janenna,MOLYNEUX,jmolyneux@uni.edu,Female,02/07/1996,Engineering,,,2024
117-7375,Jere,TWALLIN,jtwallin@uni.edu,Female,05/10/1997,Medicine,,,2023
111-2145,Alicia,RUBERY,arubery@uni.edu,Female,09/03/1997,Finance,,Basketball,2023
114-1503,Nadia,MACALOREN,nmacaloren@uni.edu,Male,09/09/1998,Biotechnology,,Swimming,2024
115-4805,Cecilia,O'SHARKEY,cosharkey@uni.edu,Male,15/02/1996,Business Administration,,Basketball,2023
117-2524,Carlita,FIDDLER,cfiddler@uni.edu,Female,11/04/1997,Tourism & Catering,,,2024
115-4754,Si,POLLICATT,spollicatt@uni.edu,Female,17/05/1996,IT,,,2023
117-2938,Papagena,RZEHOR,przehor@uni.edu,Female,18/09/1998,Art & Culture,,,2024
116-9456,Clarabelle,COLBRUN,ccolbrun@uni.edu,Male,22/06/1996,Art & Culture,,,2022
116-4082,Rhett,AKETT,rakett@uni.edu,Female,17/04/1997,Psychology,,,2024
116-9509,Hinze,ANTONOCZYK,hantonoczyk@uni.edu,Female,27/03/1997,History,,,2024
116-8361,Tripp,WINCHCOMBE,twinchcombe@uni.edu,Male,05/01/1996,Mathematics,,,2024
112-5059,Shea,BEDEN,sbeden@uni.edu,Female,16/05/1998,Physics,,,2022
112-3137,Kanya,RUSTIDGE,krustidge@uni.edu,Male,25/02/1996,Mathematics,Kappa Xi,,2022
113-9894,Krystyna,COWLES,kcowles@uni.edu,Genderqueer,04/10/1997,IT,,Swimming,2024
116-3774,Der,DEGOEY,ddegoey@uni.edu,Female,18/12/1997,Tourism & Catering,,,2024
112-7809,Chelsea,SCAMP,cscamp@uni.edu,Female,22/10/1998,Mathematics,,,2022
111-1112,Benedicta,D'ONISE,bdonise@uni.edu,Female,27/05/1998,Medicine,Nu Phi Lambda,,2024
117-6686,Juline,LOWLES,jlowles@uni.edu,Male,02/09/1998,Business Administration,,,2023
117-7647,Allen,ORTELT,aortelt@uni.edu,Male,07/07/1996,Mathematics,,,2024
112-5621,Paddie,RYHOROVICH,pryhorovich@uni.edu,Male,31/03/1998,Agronomy,,,2023
118-8868,Charley,FURPHY,cfurphy@uni.edu,Female,25/11/1998,Psychology,,,2024
118-9686,Deonne,DAMEISELE,ddameisele@uni.edu,Male,14/08/1998,Gastronomy,,Football,2022
114-6995,Sigfrid,WOODLAND,swoodland@uni.edu,Female,09/10/1997,Tourism & Catering,,Cheerleading,2022
113-7649,Kelby,DALGETY,kdalgety@uni.edu,Genderfluid,13/06/1998,Art & Culture,,,2024
113-2621,Caril,NAVEIN,cnavein@uni.edu,Male,06/09/1997,Biotechnology,,Martial Arts,2024
115-7502,Neron,SAINTHILL,nsainthill@uni.edu,Polygender,31/07/1998,Biotechnology,,,2023
115-5176,Cristen,LONGMUIR,clongmuir@uni.edu,Polygender,05/12/1997,IT,,,2023
119-7759,Culver,PRESSHAUGH,cpresshaugh@uni.edu,Female,29/10/1998,IT,,Volleyball,2024
119-1812,Jareb,BOTTOMER,jbottomer@uni.edu,Male,16/02/1998,Psychology,,Basketball,2024
111-9508,Arv,BROSI,abrosi@uni.edu,Male,12/07/1996,Tourism & Catering,,Basketball,2022
113-6298,Kathye,DOMINGUEZ,kdominguez@uni.edu,Female,20/11/1997,Chemistry,,Martial Arts,2023
116-3396,Antons,MARTSCHIK,amartschik@uni.edu,Male,17/09/1997,Medicine,,,2024
114-8829,Joshia,GLENWRIGHT,jglenwright@uni.edu,Female,30/12/1996,Architecture,,Cheerleading,2022
117-6028,Penny,SIDWELL,psidwell@uni.edu,Male,29/07/1998,Mathematics,,,2024
112-3698,Pall,BENER,pbener@uni.edu,Male,03/10/1997,Litterature & Linguistics,Nu Phi Lambda,,2023
119-5637,Vidovik,ANDREUTTI,vandreutti@uni.edu,Male,22/04/1997,Law,,,2022
115-5002,Kellen,HALES,khales@uni.edu,Female,16/10/1997,Biotechnology,,,2024
111-7285,El,ROSONE,erosone@uni.edu,Male,06/06/1998,Gastronomy,,Football,2024
116-8047,Maribelle,FORMOY,mformoy@uni.edu,Bigender,22/01/1996,Art & Culture,,,2024
117-3804,Misha,MARROWS,mmarrows@uni.edu,Female,24/12/1997,Art & Culture,,Swimming,2022
116-5403,Jourdan,BAINE,jbaine@uni.edu,Female,11/09/1997,Chemistry,,Martial Arts,2024
113-6649,Angie,SUMMERTON,asummerton@uni.edu,Male,16/04/1996,Gastronomy,,Rowing,2023
116-8942,Nicholle,ZECCHINI,nzecchini@uni.edu,Non-binary,06/05/1998,Gastronomy,,,2024
118-4757,Sholom,WALASIK,swalasik@uni.edu,Male,24/07/1996,Law,,Basketball,2024
118-8789,Jesselyn,YEGORSHIN,jyegorshin@uni.edu,Male,17/07/1996,Law,,Football,2022
116-8522,Shane,HICKEN,shicken@uni.edu,Male,30/09/1996,Art & Culture,Pi Gamma Rho,,2024
113-4080,Johna,ROSCHER,jroscher@uni.edu,Male,19/10/1996,IT,,Tennis,2023
113-5131,Derrik,SCHMIDT,dschmidt@uni.edu,Non-binary,27/07/1997,Computer Science,,,2023
118-1904,Dalila,LACER,dlacer@uni.edu,Male,21/08/1997,Law,,,2022
119-2643,Early,MCPECK,emcpeck@uni.edu,Genderfluid,09/03/1998,Tourism & Catering,,Swimming,2023
115-7222,Marylin,LOBB,mlobb@uni.edu,Female,08/10/1997,IT,,Rowing,2023
112-6231,Willi,CASON,wcason@uni.edu,Male,22/02/1996,History,,Swimming,2022
117-5297,Dante,BAMPKIN,dbampkin@uni.edu,Female,25/06/1997,Architecture,,Swimming,2022
111-8233,Tim,JAHNEL,tjahnel@uni.edu,Male,01/05/1997,IT,,,2023
114-5573,Barbe,RISBY,brisby@uni.edu,Male,23/02/1997,Art & Culture,,,2023
118-8249,Darci,HOPFER,dhopfer@uni.edu,Male,01/03/1998,Biotechnology,,,2022
116-1933,Gilli,SCANLON,gscanlon@uni.edu,Male,01/07/1997,IT,,,2024
114-8688,Waylan,BENOEY,wbenoey@uni.edu,Female,13/05/1997,Psychology,,Soccer,2023
113-4641,Marcus,CUDMORE,mcudmore@uni.edu,Female,29/06/1997,Psychology,,Volleyball,2024
112-1444,Jo,BETTINGTON,jbettington@uni.edu,Female,08/10/1997,Medicine,,,2024
119-8783,Efren,MAWMAN,emawman@uni.edu,Male,25/10/1996,Finance,,Track & Field,2023
117-5046,Konstance,CLEMETTS,kclemetts@uni.edu,Male,22/10/1997,Computer Science,,,2023
117-8265,Mignon,BUBB,mbubb@uni.edu,Male,15/06/1996,Law,,,2023
119-4766,Edlin,HEDWORTH,ehedworth@uni.edu,Genderqueer,15/03/1998,Psychology,,,2024
111-6548,Sallyanne,KULIS,skulis@uni.edu,Female,21/05/1996,Finance,,,2023
119-1556,Kelby,PARGENT,kpargent@uni.edu,Female,31/08/1997,Art & Culture,,Tennis,2024
116-9886,Abbye,PERTON,aperton@uni.edu,Male,28/12/1997,Tourism & Catering,,,2023
115-8735,Merna,HINZE,mhinze@uni.edu,Male,25/04/1997,Chemistry,,,2022
113-6454,Celisse,GREENSITT,cgreensitt@uni.edu,Male,25/11/1996,Law,,,2024
116-7725,Glory,SLINGER,gslinger@uni.edu,Female,06/09/1997,Finance,,,2022
111-5373,Court,HAYNESFORD,chaynesford@uni.edu,Female,12/09/1997,Finance,Kappa Xi,,2023
115-6798,Beniamino,LARRAT,blarrat@uni.edu,Male,14/06/1998,IT,,,2024
119-7627,Tomasina,SUMMONS,tsummons@uni.edu,Female,23/01/1997,Psychology,,,2022
112-2626,Catlin,FUGGLES,cfuggles@uni.edu,Female,20/07/1996,Agronomy,,Gymnastics,2024
117-6941,Lona,SPRIDDLE,lspriddle@uni.edu,Female,10/11/1996,Medicine,,,2023
115-2866,Pace,ALLCOAT,pallcoat@uni.edu,Female,01/02/1996,Agronomy,Epsilon,Cheerleading,2023
115-1645,Irvin,CORNHILL,icornhill@uni.edu,Male,28/09/1997,Journalism,,,2024
116-6356,Debi,KILROW,dkilrow@uni.edu,Female,21/12/1997,History,,Volleyball,2022
112-4709,Ardis,HARKEN,aharken@uni.edu,Male,11/04/1996,Medicine,,,2022
119-1928,Meade,ANTONIK,mantonik@uni.edu,Female,09/07/1996,Psychology,,,2024
116-1896,Rubin,FOLKS,rfolks@uni.edu,Polygender,30/08/1996,Litterature & Linguistics,,,2023
116-7120,Woodie,SIVETER,wsiveter@uni.edu,Non-binary,03/06/1998,Chemistry,,,2022
112-1155,Burk,LAVERENZ,blaverenz@uni.edu,Female,05/05/1998,Finance,,,2023
113-2384,Annora,O'CRIGANE,aocrigane@uni.edu,Female,30/10/1996,Chemistry,Tau Picore,,2024
115-2665,Hermia,ROADKNIGHT,hroadknight@uni.edu,Male,17/03/1998,Business Administration,,,2023
113-2160,Erminia,HAYDN,ehaydn@uni.edu,Genderqueer,14/09/1998,Journalism,,,2023
112-5928,Patricio,YEGORKIN,pyegorkin@uni.edu,Male,16/06/1997,Agronomy,,,2023
117-8661,Ellette,STONELAKE,estonelake@uni.edu,Male,30/05/1996,IT,,,2022
119-5317,Haze,GAVOZZI,hgavozzi@uni.edu,Female,06/07/1998,Computer Science,,Hockey,2022
114-5985,Ryun,AYARS,rayars@uni.edu,Male,03/06/1997,Engineering,,Soccer,2024
119-7099,Tadeo,WARKE,twarke@uni.edu,Bigender,30/12/1997,History,,,2023
115-9706,Karry,CRIPPEN,kcrippen@uni.edu,Female,27/12/1998,Psychology,,,2023
116-3954,Melosa,CROWE,mcrowe@uni.edu,Non-binary,06/09/1998,Physics,,,2023
114-7518,Beverie,BUSSEL,bbussel@uni.edu,Female,18/11/1998,Medicine,,Gymnastics,2024
119-1184,Isaac,WALKLEY,iwalkley@uni.edu,Male,14/05/1997,Computer Science,Kappa Xi,,2024
112-3744,Trula,MACGHEE,tmacghee@uni.edu,Male,26/05/1996,Art & Culture,,Soccer,2023
116-5145,Deborah,SNODAY,dsnoday@uni.edu,Female,07/09/1998,Psychology,,,2024
113-4682,Jaquith,TILBERRY,jtilberry@uni.edu,Female,15/01/1997,History,,Volleyball,2023
114-4353,Rheta,MANZELL,rmanzell@uni.edu,Male,26/10/1998,Medicine,,Tennis,2024
114-8856,Remy,CHILDERLEY,rchilderley@uni.edu,Female,07/07/1998,Art & Culture,,Hockey,2024
116-9766,Prent,O'SHIELS,poshiels@uni.edu,Male,30/11/1996,Computer Science,,,2024
116-4245,Danette,CALTERONE,dcalterone@uni.edu,Female,11/07/1996,Architecture,,Swimming,2022
112-1816,Annemarie,SOUTHERILL,asoutherill@uni.edu,Female,22/02/1998,Computer Science,,,2023
117-1920,Findlay,BLACKMUIR,fblackmuir@uni.edu,Male,17/04/1996,Litterature & Linguistics,,Basketball,2024
114-4918,Jenni,MECHEM,jmechem@uni.edu,Male,16/05/1997,Law,,,2023
116-9858,Seana,MCGETTIGAN,smcgettigan@uni.edu,Female,13/06/1996,Art & Culture,,Hockey,2024
116-2567,Ed,VASYUKOV,evasyukov@uni.edu,Female,05/10/1997,Agronomy,,Volleyball,2022
119-4458,Carola,FLUDE,cflude@uni.edu,Male,27/10/1997,Computer Science,,,2023
